original_text,processed_text,sentiment,confidence
Mimin mau spill ke kalian nihh progress Traning Centre PSSI di Ibu Kota Nusantara - Kalimantan Timur! #ADHIIKN #PSSIIKN #ADHIIKNTrainingCentre https://t.co/7iMJtRJLv9,mimin spill nihh progress traning centre pssi kota nusantara kalimantan timur,Neutral,0.9928471446037292
PLN berhasil merampungkan 3 (tiga) infrastruktur bertegangan tinggi untuk menopang sistem kelistrikan Ibu Kota Negara (IKN) Nusantara. Ketiga infrastruktur dengan realisasi Tingkat Komponen Dalam Negeri sebesar 67 29%. #PLNHUBIKN #PLNSukseskanIKN https://t.co/dMVdttY1yp,pln hasil rampung infrastruktur tegang topang sistem listrik kota negara ikn nusantara tiga infrastruktur realisasi tingkat komponen negeri 67 29,Neutral,0.9987143278121948
Rusun ASN di Ibu Kota Nusantara Hampir Selesai Dukung Pemerintahan Modern di Kalimantan Timur! https://t.co/2vvr7ZIEeX,rusun asn kota nusantara selesai dukung perintah modern kalimantan timur,Neutral,0.9985355138778687
Infrastruktur di IKN Halo #SobatBUMN! Sinergi PT Wijaya Karya (Persero) Tbk (WIKA) dengan BUMN Karya salurkan bantuan Pendidikan di Ibu Kota Nusantara (IKN) mulai dari beasiswa sarana dan prasarana sekolah serta memajukan infrastruktur di IKN pada Jumat (4/10/2024).,infrastruktur ikn halo sinergi pt wijaya karya persero tbk wika bumn karya salur bantu didik kota nusantara ikn beasiswa sarana prasarana sekolah maju infrastruktur ikn jumat 4102024,Neutral,0.9952278137207031
Otoritas Ibu Kota Nusantara (OIKN) menjelaskan bahwa kereta tanpa rel atau Autonomous Rail Transit (ART) yang diproduksi China Railway Rolling Stock Corporation (CRRC) akan dikembalikan. https://t.co/qldk2ly0QM,otoritas kota nusantara oikn kereta rel autonomous rail transit art produksi china railway rolling stock corporation crrc kembali,Neutral,0.9969953298568726
@Bambangc5563 Betul. Selama belum layak jadi ibu kota dan lengkap sarana pemerintahannya jangan grusa grusu teken keppres. Kalau ada aktivitas negara nanti cost nya mahal sebab harus wara wiri Jakarta - Nusantara,layak kota lengkap sarana perintah grusa grusu teken keppres aktivitas negara cost nya mahal wara wiri jakarta nusantara,Positive,0.5530152916908264
Investasi RRT di Indonesia tentu tidak hanya dana tapi biasanya ada 'ikutannya'. |China Jadi Salah Satu Investor Utama Proyek Ibu Kota Nusantara https://t.co/6qlDEOzJLH,investasi rrt indonesia dana ikut china salah investor utama proyek kota nusantara,Neutral,0.9976766705513
@iEarthne Ibu kota nusantara,kota nusantara,Neutral,0.9974908828735352
@DokterTifa @prabowo itu org atau bij anj,org bij anj,Positive,0.5870322585105896
Berapakah kebocoran anggaran negara yg dikorupsi di IKN.....Kementerian Pekerjaan Umum Ungkapkan Pembangunan Ibu Kota Nusantara atau IKN di Kalimantan Timur telah Capai Kemajuan Signifikan Simak! https://t.co/wHp9ekC5p2,bocor anggar negara yg korupsi iknkementerian kerja ungkap bangun kota nusantara ikn kalimantan timur capai maju signifikan simak,Neutral,0.9718294143676758
Pemindahan Ibu Kota ke IKN Nusantara Kebutuhan Pemerataan Pembangunan. https://t.co/bKYyRYoNq7,pindah kota ikn nusantara butuh perata bangun,Neutral,0.9590378403663635
Menteri Koordinator Infrastruktur dan Pembangunan Kewilayahan Agus Harimurti Yudhoyono (AHY) mengungkapkan arahan Presiden Prabowo Subianto terkait pembangunan Ibu Kota Nusantara (IKN). #IndonesiaEmas2045 #SmartCity #KotaModern #IndonesiaMaju #KotaMasaDepan #PembangunanIKN https://t.co/Ig9kViy1qJ,menteri koordinator infrastruktur bangun wilayah agus harimurti yudhoyono ahy arah presiden prabowo subianto kait bangun kota nusantara ikn,Neutral,0.9988940358161926
Menteri Koordinator Infrastruktur dan Pembangunan Kewilayahan Agus Harimurti Yudhoyono (AHY) mengungkapkan arahan Presiden Prabowo Subianto terkait pembangunan Ibu Kota Nusantara (IKN). #IbuKotaNegaraNusantara #IKN #IKNNusantara #IndonesiaEmas2045 #SmartCity #KotaModern https://t.co/vQgDr5xrcs,menteri koordinator infrastruktur bangun wilayah agus harimurti yudhoyono ahy arah presiden prabowo subianto kait bangun kota nusantara ikn,Neutral,0.9988940358161926
Menteri Koordinator Infrastruktur dan Pembangunan Kewilayahan Agus Harimurti Yudhoyono (AHY) mengungkapkan arahan Presiden Prabowo Subianto terkait pembangunan Ibu Kota Nusantara (IKN). #IbuKotaNegaraNusantara #IKN #IKNNusantara #IndonesiaEmas2045 #SmartCity #KotaModern https://t.co/jaioSVetVT,menteri koordinator infrastruktur bangun wilayah agus harimurti yudhoyono ahy arah presiden prabowo subianto kait bangun kota nusantara ikn,Neutral,0.9988940358161926
Menteri Koordinator Infrastruktur dan Pembangunan Kewilayahan Agus Harimurti Yudhoyono (AHY) mengungkapkan arahan Presiden Prabowo Subianto terkait pembangunan Ibu Kota Nusantara (IKN). #IbuKotaNegaraNusantara #IKN #IKNNusantara #IndonesiaEmas2045 #SmartCity #KotaModern https://t.co/QQPDBdbEWP,menteri koordinator infrastruktur bangun wilayah agus harimurti yudhoyono ahy arah presiden prabowo subianto kait bangun kota nusantara ikn,Neutral,0.9988940358161926
@ramaArsy1 kbnykan drama juga lama2 boring,kbnykan drama lama2 boring,Negative,0.9992223978042603
DGB UI Kaji Implementasi Ekosistem Darat dalam Pembangunan Ibu Kota Nusantara Baca selengkapnya di sini: https://t.co/sOvI9ptzZ5 #UniversitasIndonesia #UIUpdate https://t.co/LllMdR5x4C,dgb ui kaji implementasi ekosistem darat bangun kota nusantara baca lengkap,Neutral,0.998508870601654
Tysm: thank you Sri Mulyani Tbh: thank you Bahlil Lahadalia Tbf: thank you John LBF Ikr: Ibu Kota NusantaRa #HatiHatiPengaruhRezim,tysm thank you sri mulyani tbh thank you bahlil lahadalia tbf thank you john lbf ikr kota nusantara,Positive,0.6253410577774048
Pembangunan yg sudah pesat: Ibu Kota Nusantara (IKN),bangun yg pesat kota nusantara ikn,Positive,0.9978901743888855
Bak Lupa Janji Jokowi Belum Kunjung Tiba di IKN Usai Lengser Janji manis Joko Widodo (Jokowi) untuk rutin mengunjungi Ibu Kota Nusantara (IKN) usai lengser dari kursi presiden tampaknya masih jadi angan-angan. Baca Selengkapnya: https://t.co/obXigOWzbP https://t.co/05gRnkS86u,bak lupa janji jokowi kunjung ikn lengser janji manis joko widodo jokowi rutin unjung kota nusantara ikn lengser kursi presiden anganangan baca lengkap,Positive,0.6742183566093445
@e__simatupang @DoankWarto KEREN BANGET. JOKOWI LAGI NGENTOT DI DEPAN IBU KOTA NUSANTARA,keren banget jokowi ngentot kota nusantara,Positive,0.9985899329185486
@enjiinyourarea Ibu kota jakarta atau ibu kota nusantara?,kota jakarta kota nusantara,Neutral,0.990345299243927
wilayah Kawasan Inti Pusat Pemerintahan Ibu Kota Nusantara (KIPP-IKN). Kegiatan inspeksi ini menjadi bagian dari upaya untuk memastikan keberlanjutan distribusi pangan yang aman berkualitas dan terjamin keamanannya bagi warga maupun pengunjung di (cont) https://t.co/ezBYucZVaA,wilayah kawasan inti pusat perintah kota nusantara kippikn giat inspeksi upaya lanjut distribusi pangan aman kualitas jamin aman warga unjung cont,Neutral,0.9949427247047424
MELANGKAH MENUJU IKN YANG SEHAT : INSPEKSI SARANA DISTRIBUSI PANGAN Hai #SahabatBPOM Loka POM di Kota Balikpapan bekerja sama dengan Direktorat Ketahanan Pangan Otorita Ibu Kota Nusantara (IKN) melakukan inspeksi terhadap sarana distribusi pangan yang ada di (cont) https://t.co/wL1lGVPvyi,lang ikn sehat inspeksi sarana distribusi pangan hai loka pom kota balikpapan direktorat tahan pangan otorita kota nusantara ikn inspeksi sarana distribusi pangan cont,Neutral,0.9986740350723267
@apobangpobase Di IKN ibu kota nusantara yg baru biar deket,ikn kota nusantara yg biar deket,Positive,0.6269409656524658
Penerapan Trias Politica dalam Pembangunan Ibu Kota Nusantara - https://t.co/QeXOuYB5Pg https://t.co/4W67fO5ULD,terap trias politica bangun kota nusantara,Neutral,0.9968743324279785
@alpokatmentega bevelerr ni org otaknya,bevelerr ni org otak,Negative,0.9961373209953308
Pembangunan yang terus dilakukan di wilayah Ibu Kota Nusantara (IKN) menyebabkan kebutuhan tanah yang meningkat. Untuk memenuhi kebutuhan tersebut terdapat proses pengadaan tanah yang dilakukan oleh Kementerian Agraria dan Tata Ruang/Badan Pertanahan Nasional (ATR/BPN) https://t.co/weyzNT2d5C,bangun wilayah kota nusantara ikn sebab butuh tanah tingkat penuh butuh proses ada tanah menteri agraria tata ruangbadan tanah nasional atrbpn,Neutral,0.9963465332984924
 Ibu Kota Nusantara: Masa Depan Indonesia yang Lebih Cerah! Di bawah kepemimpinan Presiden Prabowo IKN dirancang sebagai simbol pemerataan pembangunan. Kota yang modern ramah lingkungan dan inklusif #IKN #PembangunanMerata #Visi2045 #KotaNusantara #InovasiUntukNegeri https://t.co/5XxLSnR8jZ,kota nusantara indonesia cerah pimpin presiden prabowo ikn rancang simbol perata bangun kota modern ramah lingkung inklusif,Neutral,0.9862106442451477
@NusantaraMonit ibu kota nusantara mantap,kota nusantara mantap,Positive,0.9988707900047302
@NusantaraMonit IKN Nusantara sebagai ibu kota baru akan meningkatkan daya tarik investasi di Indonesia,ikn nusantara kota tingkat daya tarik investasi indonesia,Positive,0.9910182952880859
@NusantaraMonit IKN Nusantara sebagai ibu kota baru akan meningkatkan daya tarik investasi di Indonesia.,ikn nusantara kota tingkat daya tarik investasi indonesia,Positive,0.9910182952880859
Jalur menuju Ibu Kota Nusantara (IKN) dilaporkan mengalami kerusakan berupa amblas pada Ahad (22/12/2024). Kerusakan tersebut terjadi di KM 9 Jalan Samboja Semoi Kelurahan Sungai Merdeka tepatnya di sekitar Resort KPHP Meratus. https://t.co/xuBwIP7LJy,jalur kota nusantara ikn lapor alami rusa amblas ahad 22122024 rusa km jalan samboja semoi lurah sungai merdeka tepat resort kphp ratus,Neutral,0.8416540622711182
Ibu Kota Nusantara: Masa Depan Indonesia yang Lebih Cerah! Di bawah kepemimpinan Presiden Prabowo IKN dirancang sebagai simbol pemerataan pembangunan. Kota yang modern ramah lingkungan dan inklusif #IKN #PembangunanMerata #Visi2045 #KotaNusantara #InovasiUntukNegeri https://t.co/qHkpPUCMJO,kota nusantara indonesia cerah pimpin presiden prabowo ikn rancang simbol perata bangun kota modern ramah lingkung inklusif,Neutral,0.9862106442451477
Progres pembangunan kantor pemerintahan di Ibu Kota Nusantara (IKN) untuk tahap 1 telah mencapai 96 persen. ~N #IKN #KantorPemerintahan https://t.co/FR4Q2GlOOL,progres bangun kantor perintah kota nusantara ikn tahap capai 96 persen,Neutral,0.9985361099243164
Selamat hari ibu untuk Ibu Kota Nusantara yang belum jadi jadi,selamat kota nusantara,Positive,0.9832800626754761
 Ibu Kota Nusantara: Masa Depan Indonesia yang Lebih Cerah! Di bawah kepemimpinan Presiden Prabowo IKN dirancang sebagai simbol pemerataan pembangunan. Kota yang modern ramah lingkungan dan inklusif #IKN #PembangunanMerata #Visi2045 #KotaNusantara #InovasiUntukNegeri https://t.co/95V3w7GDWC,kota nusantara indonesia cerah pimpin presiden prabowo ikn rancang simbol perata bangun kota modern ramah lingkung inklusif,Neutral,0.9862106442451477
Mantap pak Presiden @prabowo. Pesan persatuan sdh disampaikan Indonesia dg tegas dan lugas. KTT D8 berikutnya 2026 semoga dapat diadakan di IKN pak Presiden di New Administrative Capital Republik Indonesia Ibu Kota Nusantara. ,mantap presiden pesan satu sdh indonesia dg lugas ktt d8 2026 moga ada ikn presiden new administrative capital republik indonesia kota nusantara,Neutral,0.8526363372802734
Pembangunan yang terus dilakukan di wilayah Ibu Kota Nusantara (IKN) menyebabkan kebutuhan tanah yang meningkat. Untuk memenuhi kebutuhan tersebut terdapat proses pengadaan tanah yang dilakukan oleh Kementerian Agraria dan Tata Ruang/Badan Pertanahan Nasional (ATR/BPN) https://t.co/k0GQItJXd2,bangun wilayah kota nusantara ikn sebab butuh tanah tingkat penuh butuh proses ada tanah menteri agraria tata ruangbadan tanah nasional atrbpn,Neutral,0.9963465332984924
Menengok Apartemen ASN di IKN! Gratis Sewa Smart Home Hingga Air Keran Bisa Diminum https://t.co/OYgtQLoiZQ,tengok apartemen asn ikn gratis sewa smart home air keran minum,Neutral,0.9980402588844299
Jelang Akhir Tahun Pembangunan IKN Tahap 1 Hampir Rampung | Liputan 6 Kaltim https://t.co/oQdq8QKOiC,jelang bangun ikn tahap rampung liput kaltim,Neutral,0.9979434609413147
@jansen_jsp @prabowo Yang menyebabkan kenaikan pertambahn pajak nilai 12% oleh pemerintah. disebabkan oleh kebijakan makan siang gratis. Di sebabkan pembangunan ibu kota Nusantara..,sebab naik pertambahn pajak nilai 12 perintah sebab bijak makan siang gratis sebab bangun kota nusantara,Positive,0.990598738193512
Yang menyebabkan kenaikan pertambahn pajak nilai 12% oleh pemerintah. disebabkan oleh kebijakan makan siang gratis. Di sebabkan pembangunan ibu kota Nusantara..,sebab naik pertambahn pajak nilai 12 perintah sebab bijak makan siang gratis sebab bangun kota nusantara,Positive,0.990598738193512
@tempodotco rakyat jg marah mandalika pemborosan doang hasil zonk mana depisa,rakyat jg marah mandalika boros doang hasil zonk depisa,Negative,0.9994509816169739
Progres terkini Istana Negara di Ibu Kota Nusantara Kalimantan Timur. 🇮🇩 : PP-WIKA KSO https://t.co/ae1W8j15bS,progres kini istana negara kota nusantara kalimantan timur ppwika kso,Neutral,0.9985527396202087
Pembangunan yang terus dilakukan di wilayah Ibu Kota Nusantara (IKN) menyebabkan kebutuhan tanah yang meningkat. Untuk memenuhi kebutuhan tersebut terdapat proses pengadaan tanah yang dilakukan oleh Kementerian Agraria dan Tata Ruang/Badan Pertanahan Nasional (ATR/BPN) https://t.co/Jhxbrjqn4G,bangun wilayah kota nusantara ikn sebab butuh tanah tingkat penuh butuh proses ada tanah menteri agraria tata ruangbadan tanah nasional atrbpn,Neutral,0.9963465332984924
Sempat Ditempati Jokowi Intip Kamar Mewah Hotel Nusantara di IKN Hotel Nusantara di Ibu Kota Negara (IKN) Nusantara Kalimantan Timur telah resmi beroperasi. Dibangun oleh Konsorsium Nusantara hotel tersebut memiliki kamar sejumlah 191 unit dengan enam tipe kamar. #IKN #Hotel https://t.co/LIUI60RiAe,tempat jokowi intip kamar mewah hotel nusantara ikn hotel nusantara kota negara ikn nusantara kalimantan timur resmi operasi bangun konsorsium nusantara hotel milik kamar 191 unit enam tipe kamar,Neutral,0.9983183145523071
Otorita Ibu Kota Nusantara (IKN) terus membuka kesempatan bagi investor untuk terlibat dalam pembangunan IKN. Demi memuluskan target Presiden Prabowo Subianto yang berencana mulai berkantor di ibu kota baru pada 17 Agustus 2028. https://t.co/g2a2JcHCJP @AidilAKBAR,otorita kota nusantara ikn buka sempat investor libat bangun ikn mulus target presiden prabowo subianto rencana kantor kota 17 agustus 2028,Neutral,0.9977412223815918
Untuk menepis kekhawatiran mengenai potensi mangkraknya proyek Ibu Kota Nusantara (IKN) Otorita IKN merencanakan groundbreaking tahap 9 yang dijadwalkan berlangsung pada awal 2025 https://t.co/uUkffqm28O,menep khawatir potensi mangkraknya proyek kota nusantara ikn otorita ikn rencana groundbreaking tahap jadwal 2025,Neutral,0.9977847933769226
Progres pembangunan Ibu Kota Nusantara (IKN) mencapai 96% per 13 Desember 2024. Target fungsionalisasi KIPP IKN ditetapkan tahun depan. https://t.co/4kro1h2Rhf,progres bangun kota nusantara ikn capai 96 13 desember 2024 target fungsionalisasi kipp ikn tetap,Neutral,0.997296154499054
Otorita Ibu Kota Nusantara (IKN) mulai melakukan pemberian ganti untung untuk pembangunan jalan tol Segmen 6A dan 6B di IKN Kalimantan Timur. https://t.co/AisLmlaygk,otorita kota nusantara ikn beri ganti untung bangun jalan tol segmen 6a 6b ikn kalimantan timur,Neutral,0.9980279803276062
@jerryshnwin Jernih sekali. Di ibu kota provinsi kota Kupang yg padat penduduk aja selokan2nya airnya jernih2.,jernih kota provinsi kota kupang yg padat duduk aja selokan2nya air jernih2,Positive,0.997117280960083
Pembangunan yang terus dilakukan di wilayah Ibu Kota Nusantara (IKN) menyebabkan kebutuhan tanah yang meningkat. Untuk memenuhi kebutuhan tersebut terdapat proses pengadaan tanah yang dilakukan oleh Kementerian Agraria dan Tata Ruang/Badan Pertanahan Nasional (ATR/BPN). https://t.co/jRMU67vgbN,bangun wilayah kota nusantara ikn sebab butuh tanah tingkat penuh butuh proses ada tanah menteri agraria tata ruangbadan tanah nasional atrbpn,Neutral,0.9963465332984924
Otorita Ibu Kota Nusantara (IKN) memastikan kelanjutan pembangunan infrastruktur legislatif dan yudikatif di IKN Kalimantan Timur. Untuk https://t.co/29Oy8Xdkbt,otorita kota nusantara ikn lanjut bangun infrastruktur legislatif yudikatif ikn kalimantan timur,Neutral,0.9984945058822632
Pembangunan yang terus dilakukan di wilayah Ibu Kota Nusantara (IKN) menyebabkan kebutuhan tanah yang meningkat. Untuk memenuhi kebutuhan tersebut terdapat proses pengadaan tanah yang dilakukan oleh Kementerian Agraria dan Tata Ruang/Badan Pertanahan Nasional (ATR/BPN) https://t.co/HEbijabWtX,bangun wilayah kota nusantara ikn sebab butuh tanah tingkat penuh butuh proses ada tanah menteri agraria tata ruangbadan tanah nasional atrbpn,Neutral,0.9963465332984924
Pantai Istana Amal Selangkah Menuju Ibu Kota Nusantara https://t.co/78llnzUPuO,pantai istana amal selang kota nusantara,Neutral,0.997960090637207
Pembangunan yang terus dilakukan di wilayah Ibu Kota Nusantara (IKN) menyebabkan kebutuhan tanah yang meningkat. Untuk memenuhi kebutuhan tersebut terdapat proses pengadaan tanah yang dilakukan oleh Kementerian ATR/BPN khususnya jajaran Kanwil BPN Provinsi Kalimantan Timur. https://t.co/v32tt48tKB,bangun wilayah kota nusantara ikn sebab butuh tanah tingkat penuh butuh proses ada tanah menteri atrbpn jajar kanwil bpn provinsi kalimantan timur,Neutral,0.9984534978866577
@txtdrimedia La itu 12% sama NYARI DONATUR iIKN (InsyaAllah Ibu Kota Nusantara),la 12 nyari donatur iikn insyaallah kota nusantara,Neutral,0.9967593550682068
Buku dibagi menjadi 5 bagian yaitu pajak penghasilan (PPh) pajak pertambahan nilai dan pajak penjualan atas barang mewah (PPN dan PPnBM) bea masuk pajak bumi dan bangunan (PBB) serta fasilitas fiskal di Ibu Kota Nusantara (IKN).,buku bagi pajak hasil pph pajak tambah nilai pajak jual barang mewah ppn ppnbm bea masuk pajak bumi bangun pbb fasilitas fiskal kota nusantara ikn,Neutral,0.9984787106513977
Mari kita dukung dan sukseskan Pembangunan Ibu Kota Nusantara. https://t.co/SC7KZV4LIE,mari dukung sukses bangun kota nusantara,Positive,0.9915786981582642
@Candrapangarep Ibu kota Nusantara terletak di antara Kabupaten Kutai Kartanegara dan Penajam Paser Utara Kalimantan Timur di pulau Kalimantan,kota nusantara letak kabupaten kuta kartanegara najam paser utara kalimantan timur pulau kalimantan,Neutral,0.9977591037750244
Pemerintah berencana membangun 20 tower hunian Aparatur Sipil Negara (ASN) di Ibu Kota Nusantara (IKN) pada 2025. https://t.co/TNN6pRIOpT,perintah rencana bangun 20 tower huni aparatur sipil negara asn kota nusantara ikn 2025,Neutral,0.9988565444946289
Sukseskan Pembangunan Ibu Kota Nusantara. https://t.co/tegpOuAh3y,sukses bangun kota nusantara,Positive,0.9987300038337708
@MauritsAlberth Lalu alasan yang lain katanya Soekarno juga menginginkan pemindahan Ibu Kota Negara. Betul tapi tidak dengan membuat Ibu Kota Negara yang baru seperti IKN Nusantara. Bung Karno ingin memindahkan Ibu Kota Negara ke daerah lain alias meminda,alas soekarno pindah kota negara kota negara ikn nusantara karno pindah kota negara daerah alias pinda,Neutral,0.9985686540603638
Divisi Manufaktur &amp,divisi manufaktur amp,Neutral,0.9947555065155029
Pemindahan Aparatur Sipil Negara (ASN) ke Ibu Kota Nusantara (IKN) disebut akan dilakukan pada bulan April 2025 atau setelah Lebaran. https://t.co/8BX6BWrtmg,pindah aparatur sipil negara asn kota nusantara ikn april 2025 lebaran,Neutral,0.9987665414810181
Implementasi Peraturan Presiden Nomor 63 Tahun 2022 tentang Rencana Induk Ibu Kota Nusantara (IKN) menjadi langkah penting dalam mewujudkan konsep Superhub Ekonomi yang terintegrasi dengan Provinsi Kalimantan Timur dan daerah mitra. Yuk Baca Beritanya https://t.co/5rgTryJ2rN,implementasi atur presiden nomor 63 2022 rencana induk kota nusantara ikn langkah wujud konsep superhub ekonomi integrasi provinsi kalimantan timur daerah mitra yuk baca berita,Neutral,0.9985230565071106
Pemerintahan Bakal Pindah ke Ibu Kota Nusantara (IKN) pada 2028 https://t.co/CYWm4ZaYlc #jawapos #tangsel #tangerangselatan #news #berita,perintah pindah kota nusantara ikn 2028,Neutral,0.9969592094421387
nasional pembangunan ibu kota baru Nusantara dan upaya menuju Indonesia Emas 2045. Melalui kegiatan ini diharapkan seluruh pegawai semakin memiliki kesadaran dan semangat untuk bersama-sama berkomitmen melawan korupsi demi tercapainya Indonesia yang lebih maju bersih dan,nasional bangun kota nusantara upaya indonesia emas 2045 giat harap pegawai milik sadar semangat bersamasama komitmen lawan korupsi capa indonesia maju bersih,Neutral,0.9431065917015076
 2028 Indonesia siap pindah ke IKN Nusantara! Gedung pemerintahan mulai dibangun termasuk Kemhan BIN TNI dan Polri. Apa pendapatmu tentang ibu kota baru ini? #IKNNusantara #IbuKotaBaru #IndonesiaMaju https://t.co/CaEoY8dDzb,2028 indonesia pindah ikn nusantara gedung perintah bangun kemhan bin tni polri dapat kota,Neutral,0.9990255832672119
Kepala Kantor Komunikasi Kepresidenan Hasan Nasbi mengatakan pemerintahan akan pindah ke Ibu Kota Nusantara di Kalimantan Timur setelah ibu kota baru bisa menjalankan peran sebagai ibu kota politik yang diperkirakan terjadi tahun 2028. https://t.co/vXfSv3LeHv,kepala kantor komunikasi presiden hasan nasbi perintah pindah kota nusantara kalimantan timur kota jalan peran kota politik 2028,Neutral,0.9988709092140198
Pemberian status PSN kuat diduga merupakan kompensasi atas permintaan Joko Widodo kepada Agung Sedayu membiayai pembangunan sebagian Ibu Kota Nusantara proyek ambisius yang membutuhkan banjir investasi.,beri status psn kuat duga kompensasi minta joko widodo agung dayu biaya bangun kota nusantara proyek ambisius butuh banjir investasi,Neutral,0.9957481026649475
Presiden RI Prabowo Subianto resmi mencabut status DKI Jakarta menjadi DKJ (Daerah Khusus Jakarta). Keputusan ini ditetapkan melalui Keputusan Presiden (Keppres) setelah ibu kota negara dipindahkan ke Nusantara Kalimantan Timur. #Barisan08 #Prabowo #KabinetMerahPutih https://t.co/G7ylOkAtoa,presiden ri prabowo subianto resmi cabut status dki jakarta dkj daerah khusus jakarta putus tetap putus presiden keppres kota negara pindah nusantara kalimantan timur,Neutral,0.9989437460899353
Aguan Bicara Soal IKN Hingga Kisruh PIK 2 Di akhir pemerintahan Jokowi Sugianto Kusuma alias Aguan yang jarang tampil di media lebih sering tersorot kamera. Ia terlihat memimpin para konglomerat wara-wiri di Ibu Kota Nusantara di Kalimantan Timur. Meski tak menguntungkan https://t.co/NekQedeGJQ,aguan bicara ikn kisruh pik perintah jokowi sugianto kusuma alias aguan jarang tampil media sorot kamera pimpin konglomerat warawiri kota nusantara kalimantan timur untung,Neutral,0.9966852068901062
