Author,Ulasan,cleaned_text,sentiment,confidence
@haykalalriskiparla3432,"Susah debat klw gak ada data 😂😂 ,, dia punya data dia punya kuasa 🎉🎉🎉 udh fix udh anak muda",susah debat klw gak data data kuasa udh fix udh anak muda,Positif,0.3659530282020569
@hellohello9159,Prabowo gibran ❤,prabowo gibran,Positif,0.43251389265060425
@agungnusantara,Bubarkan UNHCR di indonesia karena tidak memberi manfaat buat rakyat indonesia sendiri dan tidak bermanfaat buat negara indonesia,bubar unhcr indonesia manfaat rakyat indonesia manfaat negara indonesia,Netral,0.3631560206413269
@VainSenpai,All in Prabowo,all prabowo,Positif,0.35079696774482727
@irfanaadelia7999,"Waduh2 sur@t TPS 2024 SUDAH BEREDAR DI TAIWAN, ADA AP@ YAAA ADA APA YAAAAAAA",sur tps edar taiwan yaaa yaaaaaaa,Netral,0.36830615997314453
@editanatalia6759,Lagi lagi moderatornya xixixixi,moderator xixixixi,Negatif,0.36083367466926575
@bangined6557,Yang tua cukup jadi penasehat aja. Biar yg muda berkreasi sekarang . Banyak anak muda cerdas gak pernah di dengar. Dengan adanya gibran bisa merangkul semua pemuda pemudi indonesia yg lebih baik. 🍻,tua nasehat aja biar muda kreasi anak muda cerdas gak dengar gibran rangkul pemuda pemudi indonesia,Positif,0.37475669384002686
@pecintaslot224,Ganjar dan mahfud . Langsung prakter ke lapangan tidak banyak plening.   Langsung survei baru plening,ganjar mahfud langsung prakter lapang plening langsung survei plening,Netral,0.3960891366004944
@erviana5732,Prabowo - Gibran insya allah,prabowo gibran insya allah,Netral,0.3866899013519287
@erviana5732,Style Ganjar - mahfud lebay,style ganjar mahfud lebay,Netral,0.34841683506965637
@sayumaher8831,Bangga banget sama mas gibran semoga kali ini gool prabowo gibran,bangga banget mas gibran moga kali gool prabowo gibran,Netral,0.36488208174705505
@KomunitasAlatBeratIndonesia,Ini yg katanya pakai bisikan earphone bukan ? 😂,pakai bisik earphone,Netral,0.3516320586204529
@sadewaaji9890,Paslon no 1 banyak an halu. Banyak omong kosong,paslon halu omong kosong,Netral,0.3754233121871948
@user-ql1pg5dq3i,"Simple saja, pak gibran cawapres anak muda yg memenuhi syarat buat masa depan indonesia yg lebih baik...",simple gibran cawapres anak muda penuh syarat indonesia,Netral,0.39712291955947876
@afendymandeu52,Pakai hati pakai otak lo pak.... Seperti anda kritik sesuatu pada masah lalu... ❤😂,pakai hati pakai otak kritik masah,Positif,0.36513638496398926
@awamwahyu5213,BERARTI CAK IMIN KEMBALI JALAN AKAL SEHAT,cak imin jalan akal sehat,Netral,0.39335623383522034
@Dek_megi,Setiap gibran menanggapi dan menjawab prtnyaan sllu d stujui,gibran tanggap prtnyaan sllu stujui,Positif,0.35668617486953735
@warnaagungolx6255,Hhrs nya cak imin jawab btl saya dl dkung karna nla nla blaaa. Dan bales lagi gibran knpa bkn statmen2 ga kan nyalon capres knp skrg nyalon. Dan knpa kmren pdi skrg bla bla blaaa .. cakep kan,hhrs nya cak imin btl dkung karna nla nla blaaa bales gibran knpa bkn statmen nyalon capres knp skrg nyalon knpa kmren pdi skrg bla bla blaaa cakep,Negatif,0.37825807929039
@faridpashter8595,Peabowo . Gibran,peabowo gibran,Netral,0.39224016666412354
@user-bw5kv4cp9v,Mas gibran debes emin pikun,mas gibran debes emin pikun,Netral,0.35957035422325134
@gotchakika,mantul,mantul,Negatif,0.34736305475234985
@PutraJelapat,Pak Prabowo &amp; Gibran cumangutt,prabowo amp gibran cumangutt,Netral,0.38280102610588074
@MA6019,"mungkin sdh waktunya Anak2 Muda maju kepentas Nasional,krn Ternyata Gibran  tlah menunjukan bahwa Anak2 Muda tak kalah dg org2 tua...",sdh anak muda maju pentas nasionalkrn gibran tlah tunjuk anak muda kalah org tua,Negatif,0.3433813154697418
@rizkymaiko2037,Imin bluk,imin bluk,Netral,0.3970250189304352
@ichachaca5895,Love mas gibran ❤ singkat padat dan jelas,love mas gibran singkat padat,Netral,0.43522894382476807
@romyperkasa6549,Udah mulai kelihatan kualitas cawapres nya..... sayang sekali untuk wapres nya saya blm nemu klik nya.... semoga nemu klik nyya dah sblm coblosan... klo cawapresnya si udh yakin saya,udah kualitas cawapres nya sayang wapres nya blm nemu klik nya moga nemu klik nyya dah sblm coblos klo cawapresnya udh,Positif,0.35157665610313416
@chukurygdiberi7211,"pingin kali kupijak kepal gibrat tu,,sama kayak bapak nya menjajah ratyat",pingin kali pijak kepal gibrat tusama kayak nya jajah ratyat,Netral,0.4250389039516449
@undangsupriatna9140,"Ngedabrusss,,",ngedabrusss,Negatif,0.3519197106361389
@undangsupriatna9140,"Matanya kayak yg cacingan sih,,,🤭🤭🤭",mata kayak cacing sih,Netral,0.3582823574542999
@kristinasari3295,Prabowo Gibran ✌️ mantap dan cerdas,prabowo gibran mantap cerdas,Netral,0.4035736918449402
@muhammadtomi4890,Banyak yg bilang Gibran keren tapi menurut ku rata² jawabannya tdk berbobot,bilang gibran keren rata jawab tdk bobot,Negatif,0.3544938564300537
@taufiksetiawan3879,Beri aku 10 pemuda niscaya akan kuguncangkan dunia,pemuda niscaya guncang dunia,Netral,0.37929388880729675
@ats_official22,klo menurut saya debat cawapres kali memang saya akui gibran lbih baik dr yg lain dan cukup menguasai materi. dan juga bentuk tanya jawabnya sesuai dg yg ditanyakan. beda dengan debat capres nya krn paslon nomer 2 untuk capresnya bisa di bilang rangking 3 daripada capres yg lain. maka dari itu PEMILU 2024 sepertinya akan jd PEMILU yg seru krn setiap pasangan punya kelebihan dan kekurangan.,klo debat cawapres kali aku gibran lbih kuasa materi bentuk sesuai beda debat capres nya krn paslon nomer capresnya bilang rangking capres milu milu seru krn pasang lebih kurang,Negatif,0.35145464539527893
@JONMAIDI-fv9xk,"&quot; tapi di Riau sumatra, banyak tanah masyarakat kecil kena jalur hijau itu gimana yang mau pemilu ini.&quot;ehem, peraturan dari pusat, atau kah pemerinta setempat.&quot;orang bisa jadi golput semua.&quot;sekarang ini pertamina yang menguasai semua, tapi rakyat kecil menderita.&quot;yang benar aja..!!!",quot riau sumatra tanah masyarakat kena jalur hijau gimana milu iniquotehem atur pusat kah pemerinta setempatquotorang golput semuaquotsekarang pertamina kuasa rakyat menderitaquotyang aja,Netral,0.38104528188705444
@kristinasari3295,Mantap Gibran Prabowo ✌️,mantap gibran prabowo,Netral,0.36098888516426086
@adriyelsaputra5823,"Hanya ada dua yg bisa dan layak untuk menjadi pemimpin yaitu antara bapak Prabowo Subianto atau bapak Ganjar Pranowo, karena mereka berdua sudah terbukti dlm mengemban tugasnya . Jika ingin melihat kehancuran NKRI maka anis lah pilih sbg pemimpin",layak pimpin prabowo subianto ganjar pranowo dua bukti dlm emban tugas hancur nkri anis pilih sbg pimpin,Positif,0.3902248442173004
@St-rs6lv,Menakutkan calon no 2 up,takut calon,Negatif,0.38330405950546265
@jassonputra3124,"cakep gibrannya, mahmud ditanya mengenai polusi aja gk bsa jawab... mlh buat naskah tulul...",cakep gibrannya mahmud polusi aja bsa mlh naskah tulul,Negatif,0.3455392122268677
@afendymandeu52,Pilihan kmi yg tepat adalah jatuh pada gifran calon undy pilpres no 2 yaitu dgn semangat jiwa yg bersih berani dan mampu utk berjuang bagi bangsa dan negara..... Semangat anak muda... Ini peluang emas.... ❤❤❤❤❤❤,pilih kmi jatuh gifran calon undy pilpres dgn semangat jiwa bersih berani utk juang bangsa negara semangat anak muda peluang emas,Negatif,0.35559043288230896
@prismafiana8180,🫶🏻,,Netral,1.0
@prismafiana8180,❤,,Netral,1.0
@Joeharahap99,ganjar mahfud 21 program unggulan  klo kalian terpilih untuk memimpin indonesia ini. KALO 21 program unggulan tidak teerselesaikan maka di akhirat nanti rakyat menagih 21 program itu,ganjar mahfud program unggul klo pilih pimpin indonesia kalo program unggul teerselesaikan akhirat rakyat tagih program,Negatif,0.39464622735977173
@RIYOSTV,Kalau boleh saya rankingkan hasil debat ini maka juara;<br>1 Gibran<br>2 Mahfud <br>3 Cak imin,rankingkan hasil debat juarabr gibranbr mahfud cak imin,Positif,0.38890889286994934
@octavianifebry2211,Gibran hebat,gibran hebat,Netral,0.3762497901916504
@familyacademy2706,"Bapaknya Banget..,, terhura.. 😭awal nya takut, ditinggal pak Jokowi, ternyata dia berikan hadiah anak sulung Nya,😭 irit bicara, cerdas akal budinya.. Pak Jokowi presidenku.. terimakasih krn telah mendidik generasi.. kamu persembahan Putra mu untuk Indonesia.. semoga Allah meridhoi.. menjaga negeri kita tercinta",bapak banget terhura nya takut tinggal jokowi hadiah anak sulung nya irit bicara cerdas akal budi jokowi presiden terimakasih krn didik generasi sembah putra indonesia moga allah meridhoi jaga negeri cinta,Netral,0.39004772901535034
@agungcahyono7580,saya dukung nomer 1,dukung nomer,Positif,0.36236143112182617
@bloomyzara9801,"Dicek dulu pa ibu, jawaban mas gibrannya nyambung apa ndak.. <br>Soal sgie, itu bhsa inggris harusnya pakai ejaan bhs inggris juga 😊 dan harusnya dijelaskan tdk pakai singkatan2, mbok ya bukan acara cerdas cermat to 😊😊",cek mas gibrannya nyambung ndak brsoal sgie bhsa inggris pakai eja bhs inggris tdk pakai singkat mbok acara cerdas cermat,Negatif,0.3662368357181549
@aswatamaps,"Untuk sesi penyampaian visi misi dan program tangkapan saya Gibran paling lengkap dan tuntas sesuai alokasi waktu. Mahfud MD hanya fokus pemberantasan korupsi. Cak Imin kebanyakan slepetnya, jadi untuk menguraikan visi misi program jadi nggak tuntas sampai waktunya habis.",sesi sampai visi misi program tangkap gibran lengkap tuntas sesuai alokasi mahfud fokus berantas korupsi cak imin banyak slepetnya urai visi misi program nggak tuntas habis,Negatif,0.43383467197418213
@bloomyzara9801,Semakin yakin sama amin😊,amin,Negatif,0.35097530484199524
@user-rp4ds1bj2y,Anak anak muda yang ahli asam folat,anak anak muda ahli asam folat,Positif,0.3545975983142853
@amaalhamzah99,Mas gibran kerennn,mas gibran kerennn,Netral,0.39126136898994446
@amaalhamzah99,Mas gibran keren bangettt ❤❤❤,mas gibran keren bangettt,Netral,0.396295964717865
@user-wt7go3pb1t,"Dukung Anis 2 priode😊😊 <a href=""https://www.youtube.com/watch?v=J1WUpRCzK44&amp;t=31m46s"">31:46</a>",dukung anis priode href,Netral,0.36456426978111267
@syamsudinnor4496,amin bapa mahfudz.bapa memang profesor yg luar biasa,amin bapa mahfudzbapa profesor,Negatif,0.3572158217430115
@jarwoto8933,Teruskan Prabowo Gibran semoga terpilih jd pemimpin Nusantara yg amanah,terus prabowo gibran moga pilih pimpin nusantara amanah,Positif,0.4006260931491852
@ytstdfree4199,Lahir nya bocah angon,lahir nya bocah angon,Positif,0.39329931139945984
@user-wt7go3pb1t,Dukung Anis 2 priode😊😊,dukung anis priode,Netral,0.3949771523475647
@user-wt7go3pb1t,Dukun Anis yes😊😊,dukun anis yes,Negatif,0.34226593375205994
@muhh7174,Pilih no 5,pilih,Negatif,0.3772740066051483
@Nesy_channel,"Meski aku gak dukung imin, aku bantu jawaban dari pertanyaan samsul. Jawabannya: itu dulu sul, tapi ternyata bapakmu bohong, apalagi aku ngebet jadi ban serep anis.jadi gitu deh. 11 12",gak dukung imin bantu samsul jawab sul bapak bohong ngebet ban serep anisjadi gitu deh,Netral,0.3822340667247772
@syamsudinnor4496,penyebab tidak sampai 7% salah sattunya korupsi,sebab salah sattunya korupsi,Netral,0.3646572232246399
@hambaallah6333,serasa denger pak jokowi lg ngomong mirip bngt suara gibran dngn pak jokowi,serasa denger jokowi ngomong bngt suara gibran dngn jokowi,Negatif,0.39833036065101624
@hamamatsutgpura1679,"aku bisa nangkap yg dikatakan paslon cawapres 02. <br>kalau pajak dinaikan lagi,bisa bahaya nih rakyat<br>bbm saja sekarang 10.000/Lt.<br>dijaman sby bensin masih 6000/L <br>apa yg mau diharap",nangkap paslon cawapres brkalau pajak naik lagibisa bahaya nih rakyatbrbbm ltbrdijaman sby bensin brapa harap,Negatif,0.4099239706993103
@anaktimorhitsseniman8414,Cak imin ngomong gk jls .😅,cak imin ngomong jls,Netral,0.41741445660591125
@anaktimorhitsseniman8414,Bungus indonesia emas . Tujuan mulia pak lurah <br>😅,bungus indonesia emas tuju mulia lurah,Netral,0.3943304717540741
@anaktimorhitsseniman8414,Muhaimin lgi berpuisi 😅,muhaimin lgi puisi,Negatif,0.35043618083000183
@syamsudinnor4496,saya tidak setuju kalau pajak  dinaikan,tuju pajak naik,Negatif,0.4315156936645508
@user-kn8bc2qm5j,"Jgn banyak janji pak Krn rakyat makin susa pupuk dan BBM naik semua,,sawit murah rakyat hrs igt janji dulu yg dirasakan rakyat makin susa.",jgn janji krn rakyat susa pupuk bbm semuasawit murah rakyat hrs igt janji rasa rakyat susa,Negatif,0.42017269134521484
@syamsudinnor4496,menurut saya visi misi  dan program memberantas korupsi yg paling tepat untuk mewujudkan  keadilan sosial,visi misi program berantas korupsi wujud adil sosial,Netral,0.36646541953086853
@desikartika1360,Lho lho lho gak bahaya ta ? Apa tujuannya paslon 3 bikin program kuliah gratis untuk anak prajurit dan bayangkara ???,lho lho lho gak bahaya tuju paslon bikin program kuliah gratis anak prajurit bayangkara,Negatif,0.3853585720062256
@radenyusup220,Prabowo Gibran sosok yang layak untuk memimpin negeri Indonesia Raya,prabowo gibran sosok layak pimpin negeri indonesia raya,Netral,0.4265459179878235
@donisolok7692,"Coba Anis  gibran gabung ,ykin indonesia maju.. Yg setuju like 😅",coba anis gibran gabung ykin indonesia maju tuju like,Positif,0.4142698049545288
@joicealt6915,Gibran ❤,gibran,Netral,0.36042821407318115
@Nacho-te5gr,40 kota gak tu😂,kota gak,Netral,0.4087200462818146
@sadamfiiks159,Mantap Prabowo n Gibran ❤✌️,mantap prabowo gibran,Netral,0.3595792353153229
@helgamonalysa3399,Sy terkagum dgn gibran luar biasaaa❤❤,kagum dgn gibran biasaaa,Netral,0.38245299458503723
@FreddyMboyz,"&quot;DI LUAR NURUL&quot;<br>Membangun 40kota setara jakarta..<br>Skrng kota2 besar seperti Jogja,solo,Semarang,Surabaya khususnya dijawa ini..<br>Secara UMRnya beda..<br>Mau bangun kota selevel jakarta,harus utamakan SDM dan UMRnya minimal setara dl.",quotdi nurulquotbrmembangun kota tara jakartabrskrng kota jogjasolosemarangsurabaya dijawa inibrsecara umrnya bedabrmau bangun kota level jakartaharus utama sdm umrnya minimal tara,Negatif,0.3405930995941162
@helgamonalysa3399,Gibran pilihanku,gibran pilih,Negatif,0.35167479515075684
@abdkarim77,"Prabowo-Gibran,is the best",prabowogibranis the best,Netral,0.3656535744667053
@Prindavanchanel,"Saya dan  keluarga  besar dukung pragib, InsyaAllah Pragib menang",keluarga dukung pragib insyaallah pragib menang,Netral,0.3833387792110443
@sahabatbadminton9820,Banyak janji luu mahfud😂,janji luu mahfud,Negatif,0.36667898297309875
@Mustopa-qz9tq,Kempul  Gibran  sip ga  usah  panjang 2 Gibran sedikit  padat,kempul gibran sip gibran padat,Netral,0.42248523235321045
@Mustopa-qz9tq,Bagi  pk mahpud,mahpud,Negatif,0.37333375215530396
@m.satriaakbar4125,supporter anis parahh,supporter anis parahh,Positif,0.39336302876472473
@Mustopa-qz9tq,Cak  imin  ngomong  aja  blepotan,cak imin ngomong aja blepot,Negatif,0.3710191547870636
@nurdinefendi6239,"Sebelas dua belas Dengan bapaknya, banyak bual nya saja cuma pintar menghayal tapi belum tentu terealisasi. Anak dengan bapak sama2 penghayal tingkat tinggi.",sebelas belas bapak bual nya pintar menghayal realisasi anak penghayal tingkat,Netral,0.4443880319595337
@rambutodji9980,"Garuda  panca  sila  akulah  pendukung mu patriot  proklamasi,  sedia  berkorban  untuk mu  Pancasila  Dasar negara  rakyat  adil  makmur  sentosa  pribadi  bangsaku  ayo  maju,  maju,  maju",garuda panca sila dukung patriot proklamasi sedia korban pancasila dasar negara rakyat adil makmur sentosa pribadi bangsa ayo maju maju maju,Negatif,0.3610893487930298
@user-uw4hw7sk4k,Omong kosong kalau korupsi di Indonesia dapat di brantas...!!!!🤪🤪🤪,omong kosong korupsi indonesia brantas,Netral,0.4098775386810303
@user-uw4hw7sk4k,PILIHANKU PRA dan GIB 👍👍👍👍👍👍♥️♥️♥️♥️♥️♥️,pilih pra gib,Netral,0.3819256126880646
@davidadrian6413,Slept 😴,slept,Negatif,0.39910855889320374
@asyiatulrahmiputri441,Istilah &quot;slepet&quot; nya pak Muhaimin menurut saya keseringan di ulang&quot;. mungkin bisa dikurangi pemakaiannya,istilah quotslepetquot nya muhaimin sering ulangquot rang pakai,Netral,0.3710412085056305
@lexabarhaen6096,bocil keren 😂,bocil keren,Negatif,0.4108160436153412
@angitaocha5162,Mahfud md di akhir bnyak omong banyak janji🤦🏻‍♀️🤦🏻‍♀️yakin 5 tahun bisa begitu?? Paling juga banyak masalah entar udah males denger&quot; janji&quot; palsu🤦🏻‍♀️🤦🏻‍♀️,mahfud bnyak omong janjiyakin entar udah males dengerquot janjiquot palsu,Negatif,0.44660672545433044
@jero9297,Prabowo-Gibrannn ❤❤❤❤❤🥺,prabowogibrannn,Negatif,0.3638116121292114
@tlfqldi6248,Gibran jawabannya mudah aku pahamii,gibran jawab mudah pahamii,Netral,0.36021268367767334
@rambutodji9980,"<a href=""https://www.youtube.com/watch?v=J1WUpRCzK44&amp;t=50m01s"">50:01</a> selamat  menunaikan  tugas  bagi  pemenang  lomba cawapres&quot; &quot;  Tunaikan  tugas kewajiban  panggilan  Bu  pertiwi!&quot;  Kami  menyerahkan  dalam  tangan  Sang  Pencipta  TUHAN yang  Maha kuasa.  Dari  Dia  berawal  dari segala  sesuatu  dari  yang  tidak  ada  menjadi  ada!&quot;.  TUHAN  memberkati, TUHAN menyertai  kita semua Amin.",href selamat tunai tugas menang lomba cawapresquot quot tunai tugas wajib panggil pertiwiquot serah tangan sang cipta tuhan maha kuasa adaquot tuhan kati tuhan serta amin,Netral,0.3478815257549286
@terserah9541,"Sepertinya anak muda ini menarik untuk memimpin Indonesia, good luck.",anak muda tarik pimpin indonesia good luck,Netral,0.3690492808818817
@viviandriani1473,Gibran siapa ya ini😅😂😅,gibran,Netral,0.36042821407318115
@sadewaaji9890,Seharus nya seharus nya seharus nya. Ya begitu lah klo ora cuma bisa omong tpi ndak tau lapangan,harus nya harus nya harus nya klo ora omong tpi ndak tau lapang,Netral,0.35875365138053894
@yumnaellisa9338,Ngedenger cak imin bilang slepet mulu jadi ngakak😭,ngedenger cak imin bilang slepet mulu ngakak,Netral,0.3851645886898041
@user-wt1hz9hv3b,Gibran 👍,gibran,Netral,0.36042821407318115
@user-ki7bs3ww4g,Gibran mantap 👍🏻,gibran mantap,Negatif,0.3799448609352112
@nanstory7496,Satunya slepet satunya selesai 😅,satu slepet satu selesai,Netral,0.5012991428375244
@dwiaditya6810,kebanyakan janji wkwk,banyak janji wkwk,Netral,0.35165271162986755
@viviandriani1473,GaMa pasting menang🤩🤩🤩,gama pasting menang,Negatif,0.37428930401802063
@mohamad_adib,Cerdas - berbudi dan semoga menjadi pimpinan negara yan amanah ...<br><br>- 🎉🎉🎉<br><br>Prabowo - Gibrah,cerdas budi moga pimpin negara yan amanah brbr brbrprabowo gibrah,Netral,0.3503069281578064
@user-er3lq8pu6m,"pak mahfud apa adanya, mas Gibran cerdas, yg satunya gak jelas kayak nonton stand up komedi.",mahfud mas gibran cerdas satu gak kayak nonton stand komedi,Netral,0.353931725025177
@magaworld3682,"Selepeeeet, lebih masuk akal lebih jelas visi dan misi dari mas gibran yoo,,gk salah ttep dukung no ✌🏻😊",selepeeeet masuk akal visi misi mas gibran yoogk salah ttep dukung,Netral,0.370881587266922
@user-ie8oc6km1v,Ganjar md,ganjar,Positif,0.4098909795284271
@fdtrz3158,"Saya bantu pilih no 2 biar pun hanya 1 suara dr saya , saya ikhlas memilih ganjar dr lubuk hati saya❤",bantu pilih biar suara ikhlas pilih ganjar lubuk hati,Negatif,0.4230436086654663
@mohamad_adib,"No 3 ganjar, paslon nomer 2, prabowo gibran",ganjar paslon nomer prabowo gibran,Positif,0.3789414167404175
@zainularifin5803,"Alhamdulillah bisa lihat debat ini jadi faham ini maslah bangsa ini, yaitu ketimpangan dalam hukum kalau dilihat selama ini belum ada yang berani melawan penentang hukum ke cuali ANIS dengan mengagalkan reklamisi dan hukum2 yang lainnya mari kita dukung agar idonesia lebih baik dan makmur",alhamdulillah lihat debat faham mas bangsa timpang hukum berani lawan tentang hukum cual anis agal reklamisi hukum mari dukung idonesia makmur,Negatif,0.3585130274295807
@adellaputri-xi6jm,apasi slepet”,apas slepet,Netral,0.4204159379005432
@user-wv9fq1rx5n,Gibran anak muda yg cerdas Dan hebat,gibran anak muda cerdas hebat,Netral,0.4126470685005188
@user-hd4qy9bq1d,Gibran yes,gibran yes,Netral,0.4177778363227844
@kanaya4672,Cak imin oh cak imin 😅,cak imin cak imin,Netral,0.3852740228176117
@massaris3337,"1% dari anggaran IKN yg jumlahnya 500T jdi skitar 5T kata imin bisa memmbangun jln sekalimantan??🤔,membangun 40 kota setara Jakarta kata imin tp menolak IKN??🤔, walah... Miiinnn.. Tukimin... Ankmu... Miiinnn harus di slepet minnn..😂😂,visi misi boleh berekspetasi  tinggi tpi za yg logis lach miinn...imiinn...tnpa di sadari justru yg gk logis mlah mnjadi bomerang dan nilai kualitasmu min...imiinn,mlah mpermalukan diri sndri min imin🤦🤦,",anggar ikn jdi skitar imin memmbangun jln sekalimantanmembangun kota tara jakarta imin tolak ikn walah miiinnn tukimin ankmu miiinnn slepet minnnvisi misi berekspetasi tpi logis lach miinnimiinntnpa sadar logis mlah mnjadi bomerang nilai kualitas minimiinnmlah mpermalukan sndri min imin,Positif,0.3455578088760376
@bersamamenujusurga,Saya rasa semua bisa menilai siapa yg paling berkompeten dari debat ini.,nilai kompeten debat,Netral,0.364614337682724
@nainggolanarif9332,"Menaikkan rasio pajak dan menaikkan pajak itu beda, masa ga ngeh sih",naik rasio pajak naik pajak beda ngeh sih,Negatif,0.35541796684265137
@Rani-gl2eq,"Ini bukan debat , mirip karnapal atau festipal budaya .",debat karnapal festipal budaya,Netral,0.36198776960372925
@marmarzx9514,Hanya Gibran ynk mengucapkan salam ke semua agama...,gibran ynk salam agama,Netral,0.4173460602760315
@fathannn5815,Keren gibran,keren gibran,Negatif,0.34912818670272827
