full_text;username;label
@ReallyAmerican1 I am so upset CNN has hired Scott Jennings and I m even more upset that Scott Jennings has taken the side of Maga and Trump. He was not like this. He was an actual Republican and now he s gone way too far right and I don t get it. I will ;outdoorgirl999;
@officer_Lew Chip Roy is a big mouth blowhard. Him and the never Trump freedom caucus need to be primaried.;TASPatriot;
@RobynDODonnell @LangmanVince I trust President Trump he took a bullet for me so I'll let him decide how to govern in HIS new administration;sashaohel;
Freedom Fight 2024 🇺🇸 Children are the ️ to our Future. Let them keep their innocence ️ Save God's Children Worldwide ;Sharon1137448;
@catturd2 We need to stay vigilant and vocal as The People we don t now go back to quiet yes people Trump and all are accountable to us just as much as any other political person;DlopeDan;
@RpsAgainstTrump The whole world knows the #GOP supported #Trump a thief rapist sexual predator Russian agent pathological liar indicted criminal to be President of #USA. The inability of the Republican party to identify a single honest member across the ;ashman06;
There trying to make America broke before Trump gets in office it wasn t the Chinese it was the democrats;KHenny1208;
@chiproytx Get out of Trump s way Chip. Texas is done with you.;TylerHunterTX;
@RyGuyFly25 @MattWallace888 I m assuming you re against Trump and other rich politicians too then;connorspiotto;
@Crewstified @CryptidPolitics Trump tried to railroad DeSantis' bid for a 2nd term as Governor even before DeSantis decided to run in the primary. Even while doing that DeSantis still won in a landslide and even turned Dade County red.;baumusc;
🇺🇸 President Trump says #Bitcoin and crypto will skyrocket like never before even beyond your expectations. WHAT A WILD YEAR!!! https://t.co/iTCYnMEaz9;viveek112;
Best moment of the year goes to Trump coming back to the White House;ZachCombs1994;
@GuntherEagleman Happy new year bud;Donnie4Veterans;
@JAYMADDIS @derg_corv Trump is an admitted pedophile and you admire him https://t.co/eJ3fHaf787;OooFur;
@realDonaldTrump Why does Trump s comb-over go the other way in two shots at the 1:58 mark?;V29501630;
@PopularLiberal You people have no common sense. After they went after Trump with everything they could try and get him with don t you think if Trump had done this they would have brought charges and went after him. Because they did NOT do that you can be;AmyGailRebel;
@davidjmcwalter @EricLDaugh when you look at how the dems attack Trump and Maga they always use Knee Grows: Abrams Bragg James Chutkin Willis Graves and so on I guess since the Knee Grows dominate violent street crime they might as well dominate criminal ;rdccdr1;
@RealAF_Patriot That's actually been reported up for several months now. A lady who goes by Nancy Drew in TT has been showing videos for some time I think since at least Sept/Oct;420TrumpFanGirl;
@M0RNINGWOODZ @OccupyDemocrats @Poptivism_ Trump's working for you too.;GordonPurch;
@Michell33650674 Sore loser is all you are Trump is the President;TmintonAl;
Happy New Year everyone! 2024 was a great year for the Free World. I can t wait for 2025 and it s going to be beautiful! #2025newyear #Iran #Israel #Trump;iri_image;
@AB84 They released the fog.;ElonTrumpRock;
Perhaps the Americans that voted for Trump participated in Trump s and Epstein s island parties. There most be a rational reason the fanatics voted for a rapist as President.;denisekeever09;
@MsAvaArmstrong Give Trump the chance to reform it from within. We shouldn't let them take over the party of Lincoln!;JoeMasucci;
Trump wishes everyone a #HappyNewYear2025! https://t.co/RsVsVFwsF9;_emergent_;
@Guntalk Secret service shot at the second Trump assassin point blank 6 times was it &amp;;
@krassenstein @byedeathsantis I hope also that she will be told that a weaponized Biden DoJ constructed these cases against Trump in an attempt to remove him from the ballot.;Len_Osborne;
@DropPopNet elon and donald trump like no question;daggmasken15783;
@MattWallace888 Wait till you find out how much money Donald Trump has ;cubagooningsnr;
@CalltoActivism Who the fuck cares lmao stop obsessing over Trump and Republicans it will help your mental health;RaginGayjun;
If one does the math 37% of edible voters failed to cast a ballot. Meaning Trump got 31.4% of possible votes Harris got 31.4% The mandate was for none of the above;griffbos;
@RepThomasMassie Who can get 218 votes. You are with Trump or against him. You choose at your own risk.;robert97986;
@shipwreckedcrew He is confusing H1 and H2. Trump inc is not listed in government website of H1 employers.;lazlosolax71820;
@beach49r @HalePage1 @Markfry809 Yeah Trump makes me angry! He is the perfect example of what a person should not be! And so many celebrate him for it... Yeah aloha and have a nice New Year's Eve anyway;the_MuschiKatZ;
@POTUS No need to show your office. Trump is already familiar with it. It s about time we ll have a President actually do work out of it. #FJB;IslandLiving4me;
@albertmohler @WNGdotorg he was for women s rights and the gays so none of his christ like behaviour counts the main thing in being a true christian is to be against women s rights and gays that s why donald trump;BridgeLivwat;
@MakerInParadise @MomAngtrades @realDonaldTrump Actually if Trump had not run they would ve never had any of the bullshit lawsuits they had against him and he would not be facing any jail time. He didn t run to avoid going to prison.;revolution_woma;
@ARhysTay No responsibility for the gain of function at all or the real reason for the deaths.Good ole Gates and Fauchi talked about population control through viruses and vaccines. Fauchi talked about there would be a pandemic during the Trump Admin. Ope;cantdecide01;
@realTrumpNewsX Thank you President Trump. TRUMP 2028! For everything that you have done for America!;TGlover23707;
@ScottAdamsSays in a time when Trump is threatening to pull out of the WHO.;gil1353;
@realDailyTrite @PaulSadusky @EricLDaugh I think DeSantis is a phenomenal governor but he made a major miscalculation going against Trump. Had he shown support for Trump in 2022 he would be the odds on favorite for 2028.;FJBLGB9;
@atensnut Amazing group of people. I pray President Trump gets the government out if their dairy business.;99Cindygrice;
@TRUMP_ARMY_ No trump propaganda network TPN;dns122012;
@bluhue123 It would be a grave mistake but then that s Trump and his administration for you;CandaceST2;
Now you all know why Trump backed him game on people https://t.co/y1hs9MI6kF;BillKnots71040;
@_johnnymaga Oh yes the party of love that demonized all the people that voted for Trump that helped Trump win. We feel so loved. FU ur father was part of the reason that helped Kamala loose .;Marie4741240724;
@BreitbartNews I hope MSNBC goes bankrupt or a new owner takes over.;TheTrump4547;
@mkultramaga1 @FenixFella @TheAntiLib1776 @theliamnissan The joking was just a cover. Did or did they not produce the emails he asked for within 72 hrs? There WAS Russian colluding. Mueller said he could have proven it if TRump had not obstructed justice ;CarrisonRobert;
Elon and trump are traders to the people of America God help us;RyanHale945;
Georgia AG asks state Supreme Court to reject last-ditch effort by Fani Willis to maintain control over Trump case #Supremecourt #DonaldTrump #Georgia #Statesupremecourt #BrianKemp https://t.co/7K6dmQgYRG;CharlesBLedford;
@Limare64 Yes. And it s their only principle. Never say or do anything that makes Trump look bad. ;markboone219;
Palestinian Official: This Is How Trump Will Eliminate Hamas https://t.co/sTKfQ0Khnp;PopHemingway;
When a reporter asked President Biden what Trump should take from Carter's legacy Biden replied Decency. ;Mollyploofkins;
All the assault allegations against Donald Trump recapped https://t.co/Lka3mctn6p;Marge1234567;
@TrumpRealDaily Yea it was political to stop Trump and freedom for the country;markpstone12;
Thank you President Trump. TRUMP 2028! For everything that you have done for America!;TGlover23707;
@NanLee1124 @WillieDMack1 @DonaldJTrumpJr Happy birthday Donald Trump Jr. &amp;;
@Michell33650674 Wait didn t you say trump should be arrest for keep going with the presidency she came out and lost there s no hack machines no bs your upset trump destroyed vp Harris;KeithCarrieri;
@trump_blocked I like this one. https://t.co/Lpwd8FLUNE;dawnmarie66;
@realTrumpNewsX The thing is NO ONE WILL EVER PASS TRUMP AS #1 AND #2 WORST.;Warren_D_Meade;
@realDonaldTrump please try to use your little pea brain and understand this illustration. Fuck off vice president Trump. https://t.co/OJsA1zPtRT;PJDeredin;
@realTrumpNewsX Yes Donald Trump is the president that USA need;Eduardo30318330;
@runews I wish nothing but the best for mother Russia 🇷🇺.;KingTrump88;
@alon_mizrahi Trump will destroy America this time...;LindaProChoice;
@marvinmusk I for one thank you and President Trump for everything you are going to do. I have no problem giving you my support.;sigm90101;
@MayorBowser Sure do think President Trump does not count on her...have backup for everything.;BarbandRandy321;
The so-called Trump bump in the stock market? It's more like a Trump bust. Since mid-November the market has been in free fall. Hopefully 2025 will be better. https://t.co/46cA15QtlX;billconley7;
@AvivaKlompas Netanyahu doesn't want peace Trump said. So if you care about the hostages than stop defending Bibi https://t.co/VF9nB0IQHW;OCat246394;
@GuntherEagleman I think our current overlords are going to throw some chit into the fan before Trump gets inaugurated to try to retain power. Maybe then we ll know who our overlords are.;Inadvertantview;
@Unfilteredboss1 1) they need to become a citizen 2) Trump wants to end chain migration.;idsmodules;
@DerrickEvans4WV A mistake by Trump to endorse a worthless speaker.;DetSportsUofM;
@PistolPete2506 @EricLDaugh It s about timing. Unfortunately since we have a very slim house majority Johnson is needed for now. If we get rid of Johnson now it will delay swearing in the new republicans and delay certifying Trump.;RivrSide32012;
@OcrazioCornPop Well now we know Trump isn t going to do shit. So MAGA. Change your name and move on to the next disappointing savior;GrantLa31771281;
@DefiyantlyFree All of these changes are either EOs or agency rules. They can all be undone by the Trump Adm.;IVita6184372;
@Coste1Costello @GOP Why should he he s dead!!! If Trump did talk about him you guys would berate him for harping on it!!!;LavineLarry;
Trump will have you expand the size of the White House bunker when all his voters finally realize he lied to them. Good times.;LaurieHunt78263;
@ThomasPaineBand You are wrong. Trump is wrong and is being called out. That is democracy!;Ancient24438215;
@TRUMP_ARMY_ I already do...;Thorsday2316;
@Michell33650674 Does that make the anxiety a little better? Trump is your president elect. All the crap you put him through was actually a helping hand in his election. The more you did to break him the more popular he became. The attempts on his life di;cindykopera3;
@DefiyantlyFree E Jean Carroll goes in to a high end dept store Trump decided to rape someone and picks her while she is thrown into an abanded part of the store she says nothing don t scream and walks out completely ok as if nothing happens and no sales ;Continued543611;
@annamlulis @realDonaldTrump We pray to God and Jesus Christ to move our President Trump to help them.;SierradeAmula;
@FmrRepMattGaetz What do you make of this plan by @RepRaskin to decertify Trump's Electors on 1/6?;PowerMan72;
@elonmusk Fantastic create a dictator ship many will support you bro end trump and DO IT DO IT!;Jack1190807;
@CWhalderburg @acnewsitics If there was evidence of Joe Biden please show actual proof any SOB who is corrupt should see the full force of the law whether dem or rep. Trump would have seen it only to have his own party blocked it. Now Reps with Biden evid;mezmerising;
@marlene4719 @Michell33650674 How funny that President Trump is going to be your president too?!! ;nowhere987;
@libsoftiktok Maga is worse than evil. They are Trump turds.;johnny45436859;
@youngricostona @tjayjones8 Yes. That s not important to most ppl. If it was Trump wouldn t be headed back to the White House.;burns_dburns26;
@nicksortor I m in a border town. We ve seen so much already we can hardly wait for January 20th when Trump is free to turn things around. 45~️🇺🇸~47;ChicagoCatwoman;
@realTrumpNewsX Do just like Trump did for Biden s Inauguration.;mason_foret;
3. ...POINT OF EMPHASIS: #hashtags ONE + SEVEN... again DISGRACE! #TRUMPISUNFITFOROFFICE #TRUMPISATRAITOR #TRUMPISARAPIST #TRUMPISNOTWELL #TRUMP2024MAGA #DONALDTRUMP2024 #donaldJtrump #DONALDTRUMP #TRUMP #FAIL;ActivistBowen2;
I think when Trump gets in he should go scorced earth on everything Biden enacted AND THEN SOME. These immature children are playing games with their last minute crap that will hurt the country. Give them something to cry about for real.;BlubonnetGal;
@TuckerCNews Trump should revoke anything the President with Alzheimer's did in the past 4 years.;KevinHe08110284;
@miglet35 @danirish @Friended4Ever @TonyUzuki @ModeratelyR @jordanbpeterson Yes. This isn't some secret information. Trump's inner circle specifically named her lol. Why do you think she wae out afterwards.;LibertarianTrap;
They all know...it's over. #WeThePeople Thank God for #Trump;AlightwithinM;
I've learned something from working in corporate America for 25+ years. If you push back it gets results. This is something Donald Trump understands. Always push back against tyrany. https://t.co/El4G0uucqv;Truth_Junkie2;
@GuntherEagleman @LeadingReport Do you really think they re gonna let someone great be speaker? No they re not wise up and realize it s best we can get rn. Need a speaker so Trump can start day 1. I mean jeez do you really want this to drag on for months ;RaceDayRoar;
@DesireeAmerica4 Harry Sisson for sure. Because he's still allowing himself to be dragged down by the party of degenerate psychopaths. Spouting nonsense about Trump voters regretting their vote when the man isn't even in office yet. He's too deep into the;mikepiyp;
Stacey Abrams says Trump re-election was not a 'seismic shift' or 'landslide' @staceyabrams is a moron. HOW did she become a Millionaire??? https://t.co/ZajkSRmbMJ;wolters_ann;
@TheDrugMoney TRUMP;lau01975;
@LarryDJonesJr Who cares! The DEI office is one of the first on the chopping block of wasteful government spending once Trump is back in office!;Joespeakstruth;
@realTrumpNewsX I don't know about Traitor. But definitely not friend. I don't know his decision making process. But he wasn't bullied into a decision at least not by Trump;CraigSt35475603;
@EpochTimesDE Trump‼️‼️‼️;SmileQ17blume;
@MomAngtrades Who's we? https://t.co/uhVTYvMtWL;BetterDumpDJT;
@DravenNoctis Trump is a Sheldon Adelson puppet.;DanEddBland;
@catturd2 Thank you for saying that part out loud. We must understand we will not all agree . Hell I don t agree with my husband but we work it out and I know him personally. I don t even agree with Trump but I m MAGA as all get out. I trust he will do wh;LMozisek;
@suzjaxlaw @4HumanUnity @RNC @POTUS @JoeBiden There were 10 mill. Round turns added on 2020 &amp;;
@That_Traveler_X @william_co95995 @JohnLeFevre @TheDemocrats Jeffery Epstein on leaked tapes before election night I was Donald Trump s best friend ;AverageLiberal7;
@DillfromTO @Ericrse37986 Republicans have stayed the exact same. Nah. Never would they have elected someone like Trump in the past.;joeymarinara1;
@TuckerCNews Can t President Trump sign something that says they have to go back to work?;billmcm05022993;
@politicsusa46 @realDonaldTrump President-elect Trump you don't even have an idea what a mandate is. Indeed what is truly troubling is that when you said America First it turns out that doesn't apply to American jobs.;NHrynenko02;
@VJYounMe @realsiff Are women happy in the 2nd kind ?;IsserHarrel;
How about you realize the administration hasn't changed and Donald J Trump isn't the current president.;RichardLit96443;
@muchoclouds @BentleyBoodle23 @EvanAKilgore Oh honey TRUMP never cared about you he just needed your votes look in the mirror and tell yourself Im such a gullible idiot for believing him ;itsKai004;
@pie247937 @1Kdolo @Vital_Vibration Ok I m not telling you to support Trump all I am saying to you is this. Please for your own sake. Look into the history of The Democrat party. And not some biased history from a supporter I mean the actual history.;DDealer1985;
And I can t leave for the night without calling out the petty ass clowns in the entertainment industry who don t realize that President Trump could give two shits if you perform at the inauguration. Get over yourselves you assholes. You ain t that important;RobCSAO17;
@RepThomasMassie There are more important things on the table right now. Certify the election and appoint Trump s cabinet picks. We are tired of a few never coming together and causing chaos and stalling. GET IT TOGETHER.;DanielleKr57402;
@FischerKing64 Are nerds even leaders? Are the most High IQ people actual leaders? They always seem more like advisors. Socially awkward easily influenced by stronger personalities not higher IQ people but stronger jock like personalities. You see this wi;Stanospeaks22;
@RealPData Remeber when Youngkin said Virginia was in play for Trump?;magicpanda_703;
@TheSpiritedAme1 Thank you ;PrayforTrump47;
The Presidents always do this. Trump did it. Obama did it. Bush did it. Clinton did it.;Cofy21;
I agree with Trump and Musk. Do you?;JosephFordCotto;
Trump Says Democrats Will Try All Sorts Of Tricks To Delay Cabinet Confirmations https://t.co/ohjFgs6UmF;FishmanLevine;
@akafacehots That was the first and last time Pence stood up for President Trump !!;GenoBarone;
I like what Mark Cuban has to say about this Healthcare model. It would be cool if the leadership in the Trump Adminstration could get behind this concept. @mcuban @ScottAdamsSays https://t.co/5wxb8iyhgB;JimTorode;
Palestinian official predicts Trump will 'destroy' Iran leading to breakdown (via @NewsfusionApps Israel News) https://t.co/CBAKFihdO6;lalmarB620;
@glenn_tunes @pjk224142 Glenda in Norway doesn t believe the reality of raising the security threat level when someone has an assassination attempt. You definitely would not be able to wear Clogs in the immediate vicinity of Trump.;Mickeyoreilly;
@BenBergquam He hasn t been seen much with Trump.;Godzword96;
Jimmy Carter s star will only rise. Trump s will remain in the cellar unless he creates a couple sub basements!;RobertMihaly1;
@KarluskaP Hopeful smile on my face but otherwise definitely agree.;TRUMPUSAMAGAKAG;
Agree- now s the time for the @GOP to come together. Ignore the ankle biters and get on with the Trump agenda;lizpeek;
@HankishTwitZone 3 times for Trump. I was too young for Reagan.;jeff_on_orbit;
@Michael72172097 @wideawake_media Trump wanted to get rid of H-1B and now he loves it.;TheTater07;
@LynnHall268 @Jason_Martin6 Following;Gimpa4Trump;
Trump OUTPLAYED by Russia RIGHT AWAY...Putin Laughing https://t.co/dDtMSM9p5N via @YouTube @realDonaldTrump You never wrote The Art of the Deal. All you can do is crap your pants and pay a porn star $130K for 15 seconds of sex and then she told the world about your very https://t.co/ylnwAH5kFB;carlson4774;
@RepThomasMassie It s time for the republicans in the house and senate to get yourselves together. We want President Trump and his team confirmed and ready to work. This country needs him NOW. We want to know President Trump can count on you;Lissa6120;
@anthonyzenkus Ok so on January 21st. Are you going to tweet about Trump s full participation in this holocaust ? This war has been ongoing long before Biden &amp;;
@catturd2 and the crooked Trump family moves back in to grift off the 🇺🇸 ppl the crooked felon is going to steal whatever he can;Marathon486;
@pfm724 @HistorianUSA1 @EricLDaugh Don t fall for the social media drama. Elon is a major reason why Trump won and he wants to save America from going bankrupt. Can t wait to see what he &amp;;
Trump 2024: Are We Ready for His Vision? #Trump2024 #Politics #BKPPolitics #Campaign2024 #AmericanDream #Optimism #PoliticalDiscussion #VoiceOfRuralAmerica #FutureOfAmerica #ElectionInsights https://t.co/U5upG7GaGG;VoiceofRuralAm;
@CollinRugg Roy is anti-Trump so his motives alas are suspect. What with no chance of defeating god-awful Johnson is their end game? Just stop.;NCCoastfan2;
@TRUMP_ARMY_ It speaks of seasons changing in the bible;Karen59561418;
Calif. Dems Beg Buttigieg to Save High-Speed Rail Boondoggle From DOGE and Trump Dump Money on Project via @WestJournalism https://t.co/G4aeVDPxjU This guy has been a JOKE from the beginning!;diane_cossin;
@RottenApples4u @GuntherEagleman @realDonaldTrump This is fact. Until Trump denounces this H1B bullshit i hope he gets stonewalled;warmachineofgod;
I will answer all questions once Trump is in the WH by not before.;DGOstaro;
@DonaldJTrumpJr Please Stop Elon! Only you can do it! #MAGA #Trump https://t.co/BRrUsNC8mb;Vulpes47899277;
@akafacehots Hope Trump legislates this law. Defacing or burning the flag should be a felony.;Michael75761724;
@aaronjmate Well in 3 weeks Trump can and should un-redact the entire thing;D4YM4N;
@EricLDaugh Take out the illegal votes in the states California New York Michigan... 65% for Trump;s_ardiel;
@politvidchannel MORE Party 1st WAR Games at Expense of WE the Taxpayer American Citizens. This Type of Legislation IS Reason Trump Was Elected in 2026. A WARNING to Elite Political Class That THEY IGNORED &amp;;
@QPATRIOTMLO1 Awww how lovely. She got here in the nick of time! Congratulations!;TrumpTrump1111;
@FoxNews He (they) are doing everything they can think of to sabotage Trump's Presidency.;lazlo_steve;
@MASKEDMANIACXXX No. Never watching anything he makes. Can't forget him talking about wanting trump killed;DanielSchi91538;
@TaraBull808 For now yes Trust Trump s judgement;KANS449707;
@allenanalysis According to president non elect musk &amp;;
@DefiyantlyFree It's just passion. Not poison They have destroyed any trust in polling So WE have no one to keep score Nobody is leading in here and Trump is not making a case. Who do you nominate;Cecelia78932677;
@petrock20 @bmaisch18 @Riley_Gaines_ @catturd2 Here's how tRump was responsible for 400k deaths. https://t.co/xuZhVy7LLj;parrotpati;
@TuckerCNews As I understand it she did exactly what she's accused Trump of...let God deal with her;miketildeath;
@suchnerve @Sembe_1312 My observation is that Trump tried to downplay the approach of Covid it was obviously huge and he absolved himself of blame by never acknowledging it seriously. Demonize Fauci ridicule people who take it seriously (mask wearers). Ma;Mfusion66;
@elonmusk Do not forget about the 150000 frogs who were suspended for supporting Trump (And thank you for helping save the free world) https://t.co/TkmkVF0tAY;Rush__17;
@gwenssmith @gatewaypundit Exactly!!!!!!!! We didn't vote for that Mr Trump!!!!;JodiHes54318635;
@BreitbartNews The despise her.;TheTrump4547;
Massive spending by the Trump administration further fueled by the unlimited money pit that we call Congress will save the United States by changing our currency to digital currency. But it will just add more unsustainable debt to our economy and kick the can down the road.;randysult;
@DerrickEvans4WV Damn it why did President Trump pull people from the house and the Senate to be his nominees we needed those people there OMG why did he do that??;ohworriesme;
@DefiyantlyFree Man I hope they finally primary this dude. All he does is to show boat. He was a Desantis Supporter so now he will give Trump problems;insanethrottle;
. impersonating pres. trump is a hobby in china. .;opAZ01;
@TRUMP_ARMY_ Absolutely;AlphadogKing;
@clantro @pfm724 @EricLDaugh So I worked in the political field for a decade. I ve been out of it as long. Asked some friends on it for their perspective. Musk has made big enemies. He is forever gone from the left and he has wrecked a LOT on the right li;HistorianUSA1;
@DanielOnTheGo_ @ElonClipsX Don t be fooled by LEON!!! LEON and Trump no nothing about fairness!;SamMorgad16030;
@pax42000 @EdKrassen @ArthurSchwartz @realDonaldTrump His post says undocumented. Ed never said trump was putting the opposition into camps UNDOCUMENTED;PachecAdams;
@HenderGren @ItsTheHousing @TimLukeAnderson @MomAngtrades I was talking about why Trump failed to deliver on his promises. You ll find a way to blame Biden.;TruuP8triot;
Stacey Abrams says Trump re-election was not a 'seismic shift' or 'landslide'. If the Democrats had won the house senate electoral college and popular vote she would say it was a big deal. https://t.co/reAXZyzmOa;Descendant8313;
@PaulBnuts @WallStreetApes Did Trump stop them the first time?;GringoSuave84;
